TOW TOL Max  Capacity Usage% TODE
45.8876 85.8812 712.377 0.0250093 0.634798 0.143375 
47.0733 87.0104 618.985 0.02499 0.635507 0.137903 
45.6422 85.5453 677.885 0.0250721 0.636999 0.137674 
45.2473 85.3354 695.656 0.02477 0.632373 0.132378 
48.8864 89.1028 583.341 0.0250914 0.640307 0.139771 
45.0269 84.9138 551.648 0.0248364 0.628848 0.136183 
45.6836 85.8112 505.876 0.024725 0.629278 0.135268 
45.5034 85.6055 515.084 0.02481 0.63246 0.132679 
45.6881 85.8891 700.11 0.0248721 0.636141 0.129206 
46.6774 86.7563 567.811 0.0248743 0.632735 0.138078 
46.1316 86.1851 612.877 0.0249051 0.633945 0.136252 NEXT Lambda
