TPW: TPO: TPIO: TPD: TPG
0 0 35013 8996 825 
713 9072 17192 9094 871 
681 9028 11274 9081 821 
720 9102 8235 9209 783 
713 9127 6524 9015 810 
706 8882 5133 9008 779 
739 9196 4405 8963 735 
696 9114 3767 9084 754 
674 9056 3346 9226 700 
715 9048 2852 8936 656 
742 8987 2595 x 698 
676 x 2279 x 655 
728 x 1973 x 657 
655 x 1873 x 618 
705 x 1640 x 662 
742 x 1512 x 577 
735 x 1373 x 560 
666 x 1275 x 555 
674 x 1142 x 546 
664 x 1070 x 552 
724 x 1036 x 546 
654 x 906 x 483 
692 x 822 x 518 
719 x 783 x 496 
750 x 729 x 460 
679 x 680 x 428 
722 x 594 x 426 
721 x 579 x 470 
689 x 566 x 402 
718 x 498 x 439 
713 x 452 x 415 
697 x 407 x 415 
641 x 385 x 391 
730 x 325 x 372 
691 x 321 x 377 
663 x 298 x 368 
706 x 293 x 319 
691 x 233 x 334 
732 x 220 x 336 
713 x 186 x 342 
686 x 172 x 365 
720 x 138 x 326 
694 x 125 x 325 
665 x 109 x 299 
645 x 92 x 277 
769 x 78 x 301 
700 x 56 x 220 
681 x 30 x 266 
691 x 23 x 254 
676 x 17 x 256 
0 x x x 222 
x x x x 222 
x x x x 239 
x x x x 225 
x x x x 210 
x x x x 220 
x x x x 222 
x x x x 188 
x x x x 195 
x x x x 176 
x x x x 204 
x x x x 188 
x x x x 154 
x x x x 185 
x x x x 186 
x x x x 197 
x x x x 165 
x x x x 185 
x x x x 128 
x x x x 152 
x x x x 160 
x x x x 157 
x x x x 141 
x x x x 155 
x x x x 111 
x x x x 131 
x x x x 127 
x x x x 102 
x x x x 108 
x x x x 109 
x x x x 135 
x x x x 116 
x x x x 101 
x x x x 117 
x x x x 107 
x x x x 111 
x x x x 113 
x x x x 103 
x x x x 96 
x x x x 97 
x x x x 108 
x x x x 91 
x x x x 69 
x x x x 77 
x x x x 93 
x x x x 96 
x x x x 82 
x x x x 85 
x x x x 71 
x x x x 73 
x x x x 72 
x x x x 50 
x x x x 73 
x x x x 74 
x x x x 59 
x x x x 67 
x x x x 67 
x x x x 62 
x x x x 57 
x x x x 35 
x x x x 71 
x x x x 55 
x x x x 40 
x x x x 54 
x x x x 49 
x x x x 49 
x x x x 50 
x x x x 42 
x x x x 46 
x x x x 52 
x x x x 41 
x x x x 40 
x x x x 42 
x x x x 45 
x x x x 29 
x x x x 36 
x x x x 42 
x x x x 33 
x x x x 35 
x x x x 39 
x x x x 33 
x x x x 31 
x x x x 33 
x x x x 36 
x x x x 29 
x x x x 27 
x x x x 29 
x x x x 26 
x x x x 22 
x x x x 24 
x x x x 22 
x x x x 19 
x x x x 28 
x x x x 29 
x x x x 29 
x x x x 27 
x x x x 26 
x x x x 27 
x x x x 12 
x x x x 17 
x x x x 15 
x x x x 14 
x x x x 14 
x x x x 16 
x x x x 9 
x x x x 20 
x x x x 18 
x x x x 5 
x x x x 20 
x x x x 17 
x x x x 15 
x x x x 14 
x x x x 24 
x x x x 15 
x x x x 20 
x x x x 17 
x x x x 15 
x x x x 16 
x x x x 13 
x x x x 9 
x x x x 13 
x x x x 15 
x x x x 12 
x x x x 14 
x x x x 14 
x x x x 15 
x x x x 13 
x x x x 11 
x x x x 10 
x x x x 4 
x x x x 11 
x x x x 10 
x x x x 9 
x x x x 8 
x x x x 5 
x x x x 6 
x x x x 7 
x x x x 8 
x x x x 6 
x x x x 8 
x x x x 5 
x x x x 11 
x x x x 8 
x x x x 4 
x x x x 6 
x x x x 5 
x x x x 4 
x x x x 4 
x x x x 6 
x x x x 7 
x x x x 8 
x x x x 4 
x x x x 5 
x x x x 3 
x x x x 9 
x x x x 7 
x x x x 4 
x x x x 4 
x x x x 6 
x x x x 1 
x x x x 8 
x x x x 5 
x x x x 6 
x x x x 10 
x x x x 2 
x x x x 5 
x x x x 4 
x x x x 2 
x x x x 5 
x x x x 2 
x x x x 4 
x x x x 2 
x x x x 1 
x x x x 2 
x x x x 4 
x x x x 2 
x x x x 2 
x x x x 1 
x x x x 5 
x x x x 6 
x x x x 5 
x x x x 2 
x x x x 4 
x x x x 1 
x x x x 4 
x x x x 2 
x x x x 2 
x x x x 2 
x x x x 2 
x x x x 3 
x x x x 1 
x x x x 1 
x x x x 1 
x x x x 1 
x x x x 0 
x x x x 1 
x x x x 1 
x x x x 2 
x x x x 2 
x x x x 3 
x x x x 2 
x x x x 2 
x x x x 0 
x x x x 1 
x x x x 4 
x x x x 0 
x x x x 2 
x x x x 1 
x x x x 1 
x x x x 6 
x x x x 1 
x x x x 0 
x x x x 2 
x x x x 3 
x x x x 1 
x x x x 2 
x x x x 3 
x x x x 0 
x x x x 3 
x x x x 1 
x x x x 3 
x x x x 0 
x x x x 1 
x x x x 0 
x x x x 0 
x x x x 1 
x x x x 0 
x x x x 0 
x x x x 4 
x x x x 2 
x x x x 2 
x x x x 0 
x x x x 2 
x x x x 0 
x x x x 0 
x x x x 1 
x x x x 1 
x x x x 1 
x x x x 3 
x x x x 0 
x x x x 1 
x x x x 0 
x x x x 1 
x x x x 0 
x x x x 1 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 1 
x x x x 2 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 2 
x x x x 0 
x x x x 2 
x x x x 1 
x x x x 1 
x x x x 1 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 1 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 1 
x x x x 0 
x x x x 0 
x x x x 2 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 1 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 1 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 1 
x x x x 0 
x x x x 0 
x x x x 1 
x x x x 0 
x x x x 0 
x x x x 2 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 1 
x x x x 0 
x x x x 1 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 1 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
x x x x 0 
